n_components,Metric,Method A,Method B,Mean A,Mean B,t-statistic,p-value,Cohen's d,p-value (Holm-adjusted),Significant (α=0.05)
10,Macro Recall,PCA,GRP,0.9947911330049262,0.8043967524174421,30.975087271934978,1.1055927711080153e-22,8.761077703132136,2.9851004819916415e-21,True
10,Macro Recall,PCA,SRP,0.9947911330049262,0.7572113665389527,40.16384251338347,7.468858955120651e-26,11.3600501598888,2.2406576865361954e-24,True
10,Macro Recall,PCA,KPCA (RBF),0.9947911330049262,0.9565754424375116,9.996205770494166,1.8582625939084028e-11,2.827353954581009,2.787393890862604e-10,True
10,Macro Recall,PCA,KPCA (Polynomial),0.9947911330049262,0.987277303411786,2.7090381565367183,0.009783002736907473,0.766231700392087,0.048915013684537365,True
10,Macro Recall,GRP,SRP,0.8043967524174421,0.7572113665389527,5.713894583736756,6.871482859794141e-07,1.616133442858138,6.184334573814727e-06,True
10,Macro Recall,GRP,KPCA (RBF),0.8043967524174421,0.9565754424375116,-22.006445751808016,1.4983752415525623e-23,-6.224362808366936,4.1954506763471744e-22,True
10,Macro Recall,GRP,KPCA (Polynomial),0.8043967524174421,0.987277303411786,-28.59699059324036,6.4028441661108316e-24,-8.088450388003269,1.856824808172141e-22,True
10,Macro Recall,SRP,KPCA (RBF),0.7572113665389527,0.9565754424375116,-29.710092755367963,8.375064202686228e-29,-8.403283222800804,2.7637711868864553e-27,True
10,Macro Recall,SRP,KPCA (Polynomial),0.7572113665389527,0.987277303411786,-37.269781776235156,9.198582352658265e-28,-10.541486170927477,2.9435463528506447e-26,True
10,Macro Recall,KPCA (RBF),KPCA (Polynomial),0.9565754424375116,0.987277303411786,-7.291203319137944,5.8605669115563125e-09,-2.0622637239889214,5.8605669115563126e-08,True
25,Macro Recall,PCA,GRP,0.997609523809524,0.8924945265462506,20.03214249329503,9.545252012463104e-18,5.665945519481642,2.1954079628665138e-16,True
25,Macro Recall,PCA,SRP,0.997609523809524,0.8938929392446633,32.615974157496396,1.1650518751186294e-26,9.225190600708357,3.611660812867751e-25,True
25,Macro Recall,PCA,KPCA (RBF),0.997609523809524,0.9588626163108924,10.253567657707928,2.4320433669616022e-11,2.900146888848136,3.404860713746243e-10,True
25,Macro Recall,PCA,KPCA (Polynomial),0.997609523809524,0.9919097792373656,2.2866290377865783,0.027694181383109896,0.6467563594707838,0.11077672553243958,False
25,Macro Recall,GRP,SRP,0.8924945265462506,0.8938929392446633,-0.23853815495903602,0.8127392098514143,-0.06746877877730474,0.9888989285632244,False
25,Macro Recall,GRP,KPCA (RBF),0.8924945265462506,0.9588626163108924,-10.691195060161728,1.1173507115461947e-13,-3.0239266104113907,2.1979442943951577e-12,True
25,Macro Recall,GRP,KPCA (Polynomial),0.8924945265462506,0.9919097792373656,-18.010320379870812,2.2055812551948736e-18,-5.094087868779572,5.3214957435281797e-17,True
25,Macro Recall,SRP,KPCA (RBF),0.8938929392446633,0.9588626163108924,-14.139357074694532,2.128598297411272e-18,-3.999214107653795,5.3214957435281797e-17,True
25,Macro Recall,SRP,KPCA (Polynomial),0.8938929392446633,0.9919097792373656,-27.135988239103384,3.86875749217669e-29,-7.675216519227361,1.3153775473400748e-27,True
25,Macro Recall,KPCA (RBF),KPCA (Polynomial),0.9588626163108924,0.9919097792373656,-7.96493411155369,9.884673221157595e-10,-2.2528235687934655,1.0873140543273354e-08,True
50,Macro Recall,PCA,GRP,0.999,0.96546673964605,13.724481150494634,5.3589215645587916e-14,3.8818694759126826,1.1253735285573463e-12,True
50,Macro Recall,PCA,SRP,0.999,0.946831326400292,14.020493742479196,1.4867661758980017e-13,3.9655944803562386,2.6761791166164032e-12,True
50,Macro Recall,PCA,KPCA (RBF),0.999,0.9627722130997992,11.295835306432528,1.3410769619819106e-11,3.194944697737945,2.145723139171057e-10,True
50,Macro Recall,PCA,KPCA (Polynomial),0.999,0.9944333333333334,2.2498852335054713,0.03189365604260144,0.6363636422012791,0.11077672553243958,False
50,Macro Recall,GRP,SRP,0.96546673964605,0.946831326400292,4.291497641294728,0.00010613369238868337,1.2138188334422304,0.000849069539109467,True
50,Macro Recall,GRP,KPCA (RBF),0.96546673964605,0.9627722130997992,0.6889260341259953,0.4944494642816122,0.1948577081865784,0.9888989285632244,False
50,Macro Recall,GRP,KPCA (Polynomial),0.96546673964605,0.9944333333333334,-9.58587026126863,1.4989239970939404e-12,-2.711293546127004,2.5481707950596986e-11,True
50,Macro Recall,SRP,KPCA (RBF),0.946831326400292,0.9627722130997992,-3.3114970930145473,0.0017917772013630116,-0.9366328201400502,0.012542440409541082,True
50,Macro Recall,SRP,KPCA (Polynomial),0.946831326400292,0.9944333333333334,-11.542981464615925,1.0989721471975788e-13,-3.264848187496219,2.1979442943951577e-12,True
50,Macro Recall,KPCA (RBF),KPCA (Polynomial),0.9627722130997992,0.9944333333333334,-8.633872314270599,1.1987150524995013e-10,-2.442027864527813,1.4384580629994016e-09,True
5,Macro F1,PCA,GRP,0.9811177157509112,0.703946077405308,53.956434298815275,1.676551953341335e-36,15.261184232535475,6.370897422697073e-35,True
5,Macro F1,PCA,SRP,0.9811177157509112,0.5676524335361727,55.870634952480195,1.329612911400065e-31,15.802601937638755,4.653645189900227e-30,True
5,Macro F1,PCA,KPCA (RBF),0.9811177157509112,0.9384743416342144,9.92818698767672,1.2852912486333221e-12,2.8081153375497006,2.1849951226766477e-11,True
5,Macro F1,PCA,KPCA (Polynomial),0.9811177157509112,0.9734117542393036,2.0843383034762635,0.04258945991370984,0.589539899469972,0.13792023428811878,False
5,Macro F1,GRP,SRP,0.703946077405308,0.5676524335361727,16.351500907768518,1.3291642307909338e-19,4.624902869784442,3.3229105769773346e-18,True
5,Macro F1,GRP,KPCA (RBF),0.703946077405308,0.9384743416342144,-40.728257168996734,2.1774856272734423e-37,-11.519690732042884,8.492193946366424e-36,True
5,Macro F1,GRP,KPCA (Polynomial),0.703946077405308,0.9734117542393036,-50.58340485974343,7.387950126041439e-38,-14.307147436731658,2.9551800504165755e-36,True
5,Macro F1,SRP,KPCA (RBF),0.5676524335361727,0.9384743416342144,-47.27145864937033,1.0097112971480097e-33,-13.370387587019696,3.735931799447636e-32,True
5,Macro F1,SRP,KPCA (Polynomial),0.5676524335361727,0.9734117542393036,-53.85939910226497,1.4114764300399534e-32,-15.233738534337686,5.081315148143832e-31,True
5,Macro F1,KPCA (RBF),KPCA (Polynomial),0.9384743416342144,0.9734117542393036,-7.7279086775009205,8.000839549959386e-10,-2.185782652100506,9.601007459951263e-09,True
10,Macro F1,PCA,GRP,0.995652328090704,0.8036702039506958,33.18356593048453,5.99185559850842e-23,9.385729797358596,1.5578824556121893e-21,True
10,Macro F1,PCA,SRP,0.995652328090704,0.755249518224338,39.3226748465607,1.1122832931665642e-24,11.122132015358703,3.225621550183036e-23,True
10,Macro F1,PCA,KPCA (RBF),0.995652328090704,0.967882087870788,9.733120010257222,2.186291290641998e-11,2.7529420645421436,3.279436935962997e-10,True
10,Macro F1,PCA,KPCA (Polynomial),0.995652328090704,0.9903649079033384,2.460061712442602,0.018030623745591286,0.6958105276022216,0.09015311872795642,False
10,Macro F1,GRP,SRP,0.8036702039506958,0.755249518224338,5.877085620299488,3.90166777740035e-07,1.662290838291086,3.12133422192028e-06,True
10,Macro F1,GRP,KPCA (RBF),0.8036702039506958,0.967882087870788,-26.415807906890645,4.8089356205375324e-24,-7.471518760593438,1.346501973750509e-22,True
10,Macro F1,GRP,KPCA (Polynomial),0.8036702039506958,0.9903649079033384,-31.5019186690768,8.6777830395583e-24,-8.910088124516522,2.343001420680741e-22,True
10,Macro F1,SRP,KPCA (RBF),0.755249518224338,0.967882087870788,-32.59778047270373,1.846744940617189e-26,-9.22004464955169,5.909583809975005e-25,True
10,Macro F1,SRP,KPCA (Polynomial),0.755249518224338,0.9903649079033384,-37.63539473819966,1.253149001118532e-25,-10.644897132805395,3.759447003355596e-24,True
10,Macro F1,KPCA (RBF),KPCA (Polynomial),0.967882087870788,0.9903649079033384,-7.184835410559739,7.413527340689325e-09,-2.0321783362064094,7.413527340689325e-08,True
25,Macro F1,PCA,GRP,0.9979557862932458,0.8890118872562239,19.569836246908327,3.9148335349672916e-17,5.535185566759669,9.00411713042477e-16,True
25,Macro F1,PCA,SRP,0.9979557862932458,0.8872109775817303,35.97495955434554,3.3779297660169704e-27,10.175255141515803,1.1147168227856002e-25,True
25,Macro F1,PCA,KPCA (RBF),0.9979557862932458,0.9695135228304724,9.805729991602773,2.965780474070013e-11,2.773479268618652,4.1520926636980183e-10,True
25,Macro F1,PCA,KPCA (Polynomial),0.9979557862932458,0.9939345423523585,2.041634650074006,0.04727256451623397,0.5774614823091013,0.13792023428811878,False
25,Macro F1,GRP,SRP,0.8890118872562239,0.8872109775817303,0.29281913494239975,0.7713292735761783,0.08282175839157983,0.7713292735761783,False
25,Macro F1,GRP,KPCA (RBF),0.8890118872562239,0.9695135228304724,-13.277085410245883,3.3985174362989253e-15,-3.7553268511911355,7.476738359857636e-14,True
25,Macro F1,GRP,KPCA (Polynomial),0.8890118872562239,0.9939345423523585,-18.48202069236965,2.9027096468734334e-17,-5.227504864641868,6.96650315249624e-16,True
25,Macro F1,SRP,KPCA (RBF),0.8872109775817303,0.9695135228304724,-21.076793653447105,7.781034879753036e-26,-5.961417487208814,2.4121208127234414e-24,True
25,Macro F1,SRP,KPCA (Polynomial),0.8872109775817303,0.9939345423523585,-32.604684596009186,3.099285756939374e-29,-9.221997430514666,1.053757157359387e-27,True
25,Macro F1,KPCA (RBF),KPCA (Polynomial),0.9695135228304724,0.9939345423523585,-7.86095537571329,1.3729933952988469e-09,-2.223413941108685,1.5102927348287315e-08,True
50,Macro F1,PCA,GRP,0.999203169213356,0.9609254371197048,14.090276133324465,1.0614811226138194e-13,3.9853319210658786,2.1229622452276386e-12,True
50,Macro F1,PCA,SRP,0.999203169213356,0.9410374769068336,13.432229935539722,7.047200144711081e-13,3.799208349550832,1.2684960260479946e-11,True
50,Macro F1,PCA,KPCA (RBF),0.999203169213356,0.972471996392288,11.30183422519522,1.0872139855609625e-11,3.1966414481927004,1.73954237689754e-10,True
50,Macro F1,PCA,KPCA (Polynomial),0.999203169213356,0.9958104800062884,2.2119112278796296,0.034480058572029695,0.6256229714465396,0.13792023428811878,False
50,Macro F1,GRP,SRP,0.9609254371197048,0.9410374769068336,3.936625496011326,0.0003212358422599747,1.113445833288586,0.002248650895819823,True
50,Macro F1,GRP,KPCA (RBF),0.9609254371197048,0.972471996392288,-3.283551215783079,0.0019392664914393233,-0.9287285324214191,0.01163559894863594,True
50,Macro F1,GRP,KPCA (Polynomial),0.9609254371197048,0.9958104800062884,-11.549001825050187,8.41977045640401e-14,-3.26655100257152,1.768151795844842e-12,True
50,Macro F1,SRP,KPCA (RBF),0.9410374769068336,0.972471996392288,-6.451954506328675,1.591493209400229e-07,-1.8248883133328437,1.4323438884602061e-06,True
50,Macro F1,SRP,KPCA (Polynomial),0.9410374769068336,0.9958104800062884,-12.098598951699831,6.512587604476639e-13,-3.4220005446413624,1.2373916448505615e-11,True
50,Macro F1,KPCA (RBF),KPCA (Polynomial),0.972471996392288,0.9958104800062884,-8.615363384101206,1.1421496199022238e-10,-2.436792748513698,1.484794505872891e-09,True
5,Macro ROC AUC,PCA,GRP,0.9990168221464556,0.9213309085282004,38.11318184409116,1.7569553966488813e-23,10.780035733821144,6.410874719602281e-22,True
5,Macro ROC AUC,PCA,SRP,0.9990168221464556,0.8516970573074163,39.809251920561536,1.384004433712327e-23,11.259756794797061,5.259216848106842e-22,True
5,Macro ROC AUC,PCA,KPCA (RBF),0.9990168221464556,0.9956838603577256,7.6248166433584705,1.702052785657906e-09,2.1566238215291293,3.574310849881603e-08,True
5,Macro ROC AUC,PCA,KPCA (Polynomial),0.9990168221464556,0.9983027177874524,1.739448247959004,0.08882205706681254,0.4919902606619484,0.35528822826725015,False
5,Macro ROC AUC,GRP,SRP,0.9213309085282004,0.8516970573074163,16.539296518536453,9.727607040193187e-19,4.678019489724872,2.7237299712540925e-17,True
5,Macro ROC AUC,GRP,KPCA (RBF),0.9213309085282004,0.9956838603577256,-36.1851696379296,1.8734357675774117e-23,-10.234711531746234,6.557025186520941e-22,True
5,Macro ROC AUC,GRP,KPCA (Polynomial),0.9213309085282004,0.9983027177874524,-37.5600521411684,1.1058874804061834e-23,-10.62358702829619,4.423549921624734e-22,True
5,Macro ROC AUC,SRP,KPCA (RBF),0.8516970573074163,0.9956838603577256,-38.81304705085373,1.7326688431357516e-23,-10.97798750726848,6.410874719602281e-22,True
5,Macro ROC AUC,SRP,KPCA (Polynomial),0.8516970573074163,0.9983027177874524,-39.55138076070189,1.2509500152788297e-23,-11.186819816473381,4.878705059587436e-22,True
5,Macro ROC AUC,KPCA (RBF),KPCA (Polynomial),0.9956838603577256,0.9983027177874524,-5.390183105689828,2.157924530879269e-06,-1.5245740103481769,3.0210943432309763e-05,True
10,Macro ROC AUC,PCA,GRP,0.9999696538578684,0.952607274773144,25.321803564666112,7.962582182736535e-19,7.162087604979639,2.4684004766483257e-17,True
