Principal Component,Explained Variance Ratio,Cumulative Explained Variance
420,0.00034007338338736687,0.9173532214945543
421,0.00033946359820091087,0.9176926850927553
422,0.0003385017163225173,0.9180311868090778
423,0.0003382468249205368,0.9183694336339984
424,0.00033748242831515727,0.9187069160623135
425,0.000336691520068717,0.9190436075823822
426,0.000335021139563465,0.9193786287219458
427,0.00033429538935765855,0.9197129241113035
428,0.0003330941875653505,0.9200460182988688
429,0.0003327746339177327,0.9203787929327866
430,0.0003316787916755135,0.9207104717244621
431,0.0003308805502449348,0.921041352274707
432,0.0003300823860199479,0.9213714346607269
433,0.00032950558674488224,0.9217009402474717
434,0.00032927401144514556,0.9220302142589168
435,0.0003286507547913504,0.9223588650137082
436,0.0003269339018497212,0.9226857989155579
437,0.0003266621938521848,0.92301246110941
438,0.00032520425959153474,0.9233376653690015
439,0.0003250331518482754,0.9236626985208498
440,0.00032395552200520654,0.9239866540428551
441,0.00032287461934694375,0.9243095286622021
442,0.0003216926172072558,0.9246312212794093
443,0.00032131073905646186,0.9249525320184658
444,0.0003201334773809611,0.9252726654958467
445,0.00031964608955303527,0.9255923115853998
446,0.00031844906215953766,0.9259107606475593
447,0.00031794287678606474,0.9262287035243454
448,0.00031692247803325645,0.9265456260023787
449,0.00031645650334703875,0.9268620825057257
450,0.0003156151690066495,0.9271776976747323
451,0.00031494744364432727,0.9274926451183767
452,0.0003138012704715262,0.9278064463888482
453,0.00031296694264391033,0.9281194133314922
454,0.00031252827679728216,0.9284319416082895
455,0.00031224227845628457,0.9287441838867457
456,0.00031164503601064335,0.9290558289227564
457,0.0003109871382118088,0.9293668160609682
458,0.00031054931966599005,0.9296773653806342
459,0.00031027262480674134,0.9299876380054409
460,0.00030938263692401833,0.930297020642365
461,0.0003091186690219577,0.9306061393113869
462,0.0003079231045706643,0.9309140624159575
463,0.00030676862585690836,0.9312208310418144
464,0.00030551932747115883,0.9315263503692855
465,0.00030479710113124594,0.9318311474704168
466,0.0003044532490247501,0.9321356007194416
467,0.0003037132694533639,0.9324393139888949
468,0.00030241156845338754,0.9327417255573482
